2025-05-18 11:29:45,897 WARN [restartedMain] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext [AbstractApplicationContext.java:557] Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'org.springframework.kafka.config.internalKafkaListenerEndpointRegistry'; nested exception is org.apache.kafka.common.errors.TimeoutException: Timeout expired while fetching topic metadata
2025-05-18 11:31:45,026 WARN [restartedMain] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:31:49,962 WARN [elasticsearch[_client_][generic][T#2]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:31:54,977 WARN [elasticsearch[_client_][generic][T#3]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:31:59,996 WARN [elasticsearch[_client_][generic][T#1]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:05,022 WARN [elasticsearch[_client_][generic][T#4]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:10,048 WARN [elasticsearch[_client_][generic][T#2]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:15,068 WARN [elasticsearch[_client_][generic][T#3]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:20,116 WARN [elasticsearch[_client_][generic][T#1]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:25,141 WARN [elasticsearch[_client_][generic][T#4]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:30,165 WARN [elasticsearch[_client_][generic][T#2]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:35,184 WARN [elasticsearch[_client_][generic][T#3]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:40,206 WARN [elasticsearch[_client_][generic][T#1]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:45,225 WARN [elasticsearch[_client_][generic][T#4]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{LZpbItFkSweuUFSdNzz17Q}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:32:45,473 WARN [restartedMain] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext [AbstractApplicationContext.java:557] Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'org.springframework.kafka.config.internalKafkaListenerEndpointRegistry'; nested exception is org.apache.kafka.common.errors.TimeoutException: Timeout expired while fetching topic metadata
2025-05-18 11:34:58,398 WARN [restartedMain] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{mp-sjwT3SkeNiTtFyyTntQ}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:35:03,351 WARN [elasticsearch[_client_][generic][T#2]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{mp-sjwT3SkeNiTtFyyTntQ}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:35:08,369 WARN [elasticsearch[_client_][generic][T#3]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{mp-sjwT3SkeNiTtFyyTntQ}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 11:35:13,389 WARN [elasticsearch[_client_][generic][T#1]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{mp-sjwT3SkeNiTtFyyTntQ}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:01:01,046 WARN [restartedMain] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext [AbstractApplicationContext.java:557] Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'org.springframework.kafka.config.internalKafkaListenerEndpointRegistry'; nested exception is org.apache.kafka.common.errors.TimeoutException: Timeout expired while fetching topic metadata
2025-05-18 19:16:01,250 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:01,355 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:01,562 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:01,974 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:02,794 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:03,970 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:04,942 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:06,169 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:07,039 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:08,165 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:09,084 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:10,056 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:11,233 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:12,460 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:13,588 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:14,507 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:15,325 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:16,297 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:17,165 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:18,341 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:19,415 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:20,540 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:21,461 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:22,584 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:23,812 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:24,729 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:25,700 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:26,823 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:27,793 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:28,763 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:29,939 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:30,911 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:31,986 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:32,853 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:33,671 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:34,591 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:35,614 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:36,431 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:37,350 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:38,320 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:671] [Consumer clientId=consumer-2, groupId=test-consumer-group] Connection to node 0 could not be established. Broker may not be available.
2025-05-18 19:16:39,264 WARN [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.NetworkClient [NetworkClient.java:968] [Consumer clientId=consumer-2, groupId=test-consumer-group] Error while fetching metadata with correlation id 2559 : {like=LEADER_NOT_AVAILABLE, comment=LEADER_NOT_AVAILABLE, follow=LEADER_NOT_AVAILABLE}
2025-05-18 19:19:36,823 WARN [http-nio-8080-exec-7] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver [AbstractHandlerExceptionResolver.java:198] Resolved [NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300}]]]
2025-05-18 19:20:11,847 WARN [elasticsearch[_client_][generic][T#4]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:16,874 WARN [elasticsearch[_client_][generic][T#3]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:20,794 WARN [http-nio-8080-exec-7] o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver [AbstractHandlerExceptionResolver.java:198] Resolved [NoNodeAvailableException[None of the configured nodes are available: [{#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300}]]]
2025-05-18 19:20:21,899 WARN [elasticsearch[_client_][generic][T#1]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:26,927 WARN [elasticsearch[_client_][generic][T#2]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:31,956 WARN [elasticsearch[_client_][generic][T#4]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:37,012 WARN [elasticsearch[_client_][generic][T#3]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:42,046 WARN [elasticsearch[_client_][generic][T#1]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:47,086 WARN [elasticsearch[_client_][generic][T#2]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:52,117 WARN [elasticsearch[_client_][generic][T#4]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:20:57,211 WARN [elasticsearch[_client_][generic][T#3]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:21:02,232 WARN [elasticsearch[_client_][generic][T#1]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:21:07,249 WARN [elasticsearch[_client_][generic][T#2]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:21:12,269 WARN [elasticsearch[_client_][generic][T#4]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:21:17,290 WARN [elasticsearch[_client_][generic][T#3]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:21:22,310 WARN [elasticsearch[_client_][generic][T#1]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:21:27,326 WARN [elasticsearch[_client_][generic][T#2]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
2025-05-18 19:21:32,341 WARN [elasticsearch[_client_][generic][T#4]] o.e.c.t.TransportClientNodesService [TransportClientNodesService.java:423] node {#transport#-1}{tezJTaFoQt2vDVxCOr8O0g}{127.0.0.1}{127.0.0.1:9300} not part of the cluster Cluster [nowcoder], ignoring...
